chamber,id,town,cover_area,total_area,share_covered
house,H001,Hartford,5375878.734544367,5375878.734544367,1
house,H002,Bethel,34266828.318985224,103714264.95558488,0.3303964824285244
house,H002,Danbury,30723427.057750344,103714264.95558488,0.2962314496555271
house,H002,Newtown,10066487.058015347,103714264.95558488,0.09705981199718543
house,H002,Redding,28602729.900149584,103714264.95558488,0.2757839523078003
house,H003,Hartford,5980343.6896305345,5980480.755430359,0.9999770811402243
house,H004,Hartford,11161362.5219939,11161362.5219939,1
house,H005,Hartford,9462632.252571344,27767692.464734435,0.3407784879708348
house,H005,Windsor,18305060.21216309,27767692.464734435,0.6592215120291651
house,H006,Hartford,5647186.651385911,5647186.651385911,1
house,H007,Hartford,9145909.160038471,9145909.160038471,1
house,H008,Columbia,56954547.62778902,184824502.2178948,0.3081547464991612
house,H008,Coventry,99041441.53332901,184824502.2178948,0.5358674869664536
house,H008,Vernon,21439807.135995984,184824502.2178948,0.11600089208258758
house,H009,East Hartford,9902397.747873038,27306211.133030623,0.3626426859307011
house,H009,Manchester,17403813.385157578,27306211.133030623,0.6373573140692986
house,H010,East Hartford,24241724.788397238,24241724.788397238,1
house,H011,East Hartford,14408406.269427538,37160750.28785658,0.3877318449658948
house,H011,Manchester,10944963.419412851,37160750.28785658,0.29453020551604564
house,H011,South Windsor,11807380.59901619,37160750.28785658,0.3177379495180595
house,H012,Manchester,20567385.400930762,20567385.400930762,1
house,H013,Glastonbury,22930661.691165924,45640353.57695389,0.5024207722778197
house,H013,Manchester,22709691.885787964,45640353.57695389,0.4975792277221803
house,H014,South Windsor,62410253.0775044,62410253.0775044,1
house,H015,Bloomfield,67993050.48051864,77395657.26269275,0.8785124758323297
house,H015,Windsor,9400824.290145993,77395657.26269275,0.1214644932626924
house,H016,Simsbury,88862014.1793158,88862014.1793158,1
house,H017,Avon,31606189.072387457,96401465.0062831,0.3278600493294109
house,H017,Canton,64795112.31317337,96401465.0062831,0.6721382533859859
house,H018,West Hartford,13846922.304956406,13846922.304956406,1
house,H019,Avon,29470213.579886526,63542237.23322976,0.463789360637666
house,H019,Farmington,5756569.449012518,63542237.23322976,0.09059437784482176
house,H019,West Hartford,28315454.204330683,63542237.23322976,0.4456162615175117
house,H020,West Hartford,15495247.923748136,15496745.822291136,0.9999033410910796
house,H021,Farmington,68878927.90897107,68879067.63709879,0.999997971399258
house,H022,New Britain,3655842.496850729,28980966.66704744,0.12614632696181158
house,H022,Plainville,25325124.17019683,28980966.66704744,0.8738536730381925
house,H023,Lyme,89278725.92616212,206450618.14661312,0.4324459123816228
house,H023,Old Lyme,65112783.17585564,206450618.14661312,0.31539156317572803
house,H023,Old Saybrook,43764685.279681206,206450618.14661312,0.2119862157477351
house,H024,New Britain,11723959.940047681,17654480.442063347,0.6640784461781338
house,H024,Newington,5930520.50201571,17654480.442063347,0.33592155382186867
house,H025,New Britain,7609027.637244463,7609027.637244463,1
house,H026,New Britain,11786149.040291011,11786149.040291011,1
house,H027,Newington,26358432.81860271,26365420.630301386,0.9997349630109582
house,H028,Wethersfield,25758120.673569918,25759005.999590516,0.999965630427641
house,H029,Rocky Hill,35846105.08024621,45776763.790910035,0.7830633297709051
house,H029,Wethersfield,8175910.35949707,45776763.790910035,0.17860393969397578
house,H030,Berlin,42677708.50213432,73605386.98668563,0.5798177314094447
house,H030,Southington,30927678.48455146,73605386.98668563,0.42018226859055735
house,H031,Glastonbury,112234603.48643363,112234603.48643363,1
house,H032,Cromwell,33586533.14223832,97965871.05165744,0.3428391212336399
house,H032,Portland,64379337.90941912,97965871.05165744,0.6571608787663601
house,H033,Middletown,41653543.857997656,41653543.857997656,1
house,H034,Colchester,13513963.840855598,255542330.4247446,0.05288346481928701
house,H034,East Haddam,146531333.81075478,255542330.4247446,0.5734131545533009
house,H034,East Hampton,95497032.77313387,255542330.4247446,0.37370338062741065
house,H035,Clinton,43931635.056785524,170191390.8540601,0.25813077169371684
house,H035,Killingworth,92735991.2040484,170191390.8540601,0.5448923752175568
house,H035,Westbrook,33523764.593226194,170191390.8540601,0.19697685308872628
house,H036,Chester,43576759.760700226,230961061.4329319,0.18867578582441852
house,H036,Deep River,36662832.13298035,230961061.4329319,0.1587403171145659
house,H036,Essex,30747388.008387566,230961061.4329319,0.13312801654800244
house,H036,Haddam,119974081.53086281,230961061.4329319,0.5194558805130091
house,H037,East Lyme,92742949.21051598,169776174.62089503,0.5462659847155122
house,H037,Salem,77033225.56320238,169776174.62089503,0.4537340161846337
house,H038,Montville,40194300.21190643,130952549.85891533,0.30693789662905124
house,H038,Waterford,90757301.48691845,130952549.85891533,0.6930548628850516
house,H039,New London,15722695.819339722,15736898.42481193,0.999097496527663
house,H040,Groton,45795510.345820904,56400302.261605084,0.8119727822273841
house,H040,Ledyard,10604791.915783882,56400302.261605084,0.1880272177726106
house,H041,Groton,46101649.78538406,49556195.76518154,0.9302903314821299
house,H041,New London,3454545.9797974825,49556195.76518154,0.06970966851787008
house,H042,Ledyard,93014314.01803112,198495109.06224144,0.46859751082765944
house,H042,Montville,23296069.965135694,198495109.06224144,0.11736344575538546
house,H042,Preston,82184725.07907498,198495109.06224144,0.4140390434169569
house,H043,North Stonington,142283171.95898438,251697083.6268115,0.5652952744178239
house,H043,Stonington,109413911.66782758,251697083.6268115,0.4347047255821779
house,H044,Killingly,75959247.9273262,163460352.43651128,0.4646952413541939
house,H044,Plainfield,87497557.96939066,163460352.43651128,0.5352830620096399
house,H045,Griswold,95931316.69365895,312627099.1231473,0.30685541004834815
house,H045,Lisbon,19146210.185508132,312627099.1231473,0.06124296402714029
house,H045,Plainfield,23837243.176580667,312627099.1231473,0.0762481667246348
house,H045,Sterling,70796168.83864307,312627099.1231473,0.22645563688244336
house,H045,Voluntown,102916160.57407856,312627099.1231473,0.32919782342201476
house,H046,Norwich,28366827.90892288,28366827.90892288,1
house,H047,Canterbury,104140235.28508568,454155738.567188,0.22930511813774895
house,H047,Chaplin,50567018.42391682,454155738.567188,0.11134290317116825
house,H047,Franklin,51287575.70468426,454155738.567188,0.11292948948854194
house,H047,Hampton,66014749.549634725,454155738.567188,0.14535707455311273
house,H047,Lebanon,53055851.61967051,454155738.567188,0.11682303473045602
house,H047,Lisbon,24090168.368652344,454155738.567188,0.05304384888904896
house,H047,Scotland,48453445.81643392,454155738.567188,0.1066890533394982
house,H047,Sprague,35790769.07512593,454155738.567188,0.07880725935125672
house,H048,Colchester,115397285.03560007,233469354.23333836,0.49427165897014275
house,H048,Lebanon,89979612.8935833,233469354.23333836,0.38540224342957735
house,H048,Mansfield,24637352.363505363,233469354.23333836,0.10552713628908159
house,H049,Windham,68157123.17578405,68157123.17578405,1
house,H050,Brooklyn,75818604.29518795,494136510.5334406,0.15343655584838017
house,H050,Eastford,75698828.37971917,494136510.5334406,0.15319416146359877
house,H050,Pomfret,105046574.93919754,494136510.5334406,0.2125861431000018
house,H050,Union,77239000.17628288,494136510.5334406,0.15631105682294194
house,H050,Woodstock,160323146.98007575,494136510.5334406,0.3244511254734048
house,H051,Killingly,53218625.03602825,232052733.10809898,0.22933849700118375
house,H051,Putnam,52871143.88708496,232052733.10809898,0.22784107378927346
house,H051,Thompson,125962964.1849842,232052733.10809898,0.5428204292095361
house,H052,Somers,73935231.58212456,226047420.40095216,0.3270784132417073
house,H052,Stafford,152112188.81882763,226047420.40095216,0.6729215867582928
house,H053,Ashford,102142271.19852713,285964980.8157251,0.357184543740855
house,H053,Tolland,96938075.00833333,285964980.8157251,0.33898582522871884
house,H053,Willington,86851707.9021222,285964980.8157251,0.30371448858659084
house,H054,Mansfield,93618924.56277576,93621291.9021205,0.999974713665058
house,H055,Andover,40625069.87155008,236107747.43448153,0.17206157067261546
house,H055,Bolton,38118105.17349243,236107747.43448153,0.16144368656970892
house,H055,Hebron,96451419.36152136,236107747.43448153,0.40850594870160306
