level,chamber,name,towns,representative2020,party2020,Total population,Population under age 18,Percent under age 18,Population ages 18+,Percent ages 18+,Population ages 65+,Percent ages 65+,Latino population,Percent Latino,White population,Percent white,Black population,Percent black,Other race population,Percent other race,Foreign-born population,Percent foreign-born,Total households,Owner-occupied households,Homeownership rate,Cost-burdened households,Cost-burden rate,Poverty status known,Population in poverty,Poverty rate,Low-income population,Low-income rate,"Under 18, poverty status known",Children in poverty,Child poverty rate,Low-income children,Child low-income rate,"Ages 65+, poverty status known",Seniors in poverty,Senior poverty rate,Low-income seniors,Senior low-income rate,Safe walking at night,Influence over local govt,Access to car,Very good self-rated health,Smoking,Obesity,Dental visit in past year,Local parks in good condition,Feel local govt is responsive,Think residents are able to obtain jobs,Good place to raise kids,Satisfied with area,Food insecurity,Adults with diabetes,No bank account
state,,Connecticut,,,,3581504,752625,0.21,2828879,0.79,587580,0.16,561791,0.16,2418696,0.68,351817,0.1,249200,0.07,513646,0.14,1367374,907134,0.66,484571,0.36,3474901,348449,0.1,796272,0.23,743194,100097,0.13,222157,0.3,566635,41393,0.07,124153,0.22,0.7,0.67,0.89,0.6,0.15,0.27,0.75,0.75,0.51,0.46,0.74,0.82,0.13,0.1,0.91
district,senate,S001,Hartford; Wethersfield,John W. Fonfara,D,95887,22961,0.24,72926,0.76,11669,0.12,46328,0.48,27778,0.29,15732,0.16,6049,0.06,18892,0.2,35372,13177,0.37,16446,0.48,93166,23195,0.25,44242,0.47,22716,7700,0.34,14238,0.63,11339,2320,0.2,4987,0.44,0.54,0.69,0.73,0.53,0.16,0.31,0.68,0.58,0.38,0.38,0.52,0.73,0.24,0.12,0.8
district,senate,S002,Bloomfield; Hartford; Windsor,Douglas McCrory,D,94945,18901,0.2,76044,0.8,15267,0.16,14761,0.16,23921,0.25,50370,0.53,5893,0.06,20724,0.22,36886,18172,0.49,15585,0.44,90326,15883,0.18,32062,0.35,18691,4749,0.25,9287,0.5,14637,1798,0.12,4640,0.32,0.58,0.7,0.77,0.56,0.15,0.34,0.7,0.62,0.41,0.41,0.57,0.78,0.21,0.12,0.87
district,senate,S003,East Hartford; East Windsor; Ellington; South Windsor,Saud Anwar,D,100261,21544,0.21,78717,0.79,15040,0.15,21251,0.21,56840,0.57,13654,0.14,8516,0.08,17152,0.17,39528,26260,0.66,13828,0.36,99364,9551,0.1,23106,0.23,21106,2760,0.13,6300,0.3,14674,1484,0.1,3527,0.24,0.68,0.63,0.87,0.58,0.17,0.34,0.75,0.72,0.47,0.47,0.71,0.8,0.11,0.12,0.91
district,senate,S004,Andover; Bolton; Glastonbury; Manchester,Steve Cassano,D,100684,21730,0.22,78954,0.78,15736,0.16,9938,0.1,69143,0.69,8807,0.09,12796,0.13,14354,0.14,40542,27096,0.67,12032,0.3,99676,7086,0.07,17663,0.18,21440,1741,0.08,4847,0.23,15119,847,0.06,2600,0.17,0.7,0.64,0.91,0.6,0.16,0.26,0.77,0.78,0.52,0.46,0.73,0.81,0.13,0.1,0.9
district,senate,S005,Bloomfield; Burlington; Farmington; West Hartford,Derek Slap,D,97598,21309,0.22,76289,0.78,17738,0.18,8318,0.09,74950,0.77,4510,0.05,9820,0.1,16112,0.17,38313,28135,0.73,11009,0.29,95751,6496,0.07,14734,0.15,21102,1728,0.08,3837,0.18,16993,1186,0.07,3170,0.19,0.82,0.76,0.92,0.71,0.07,0.19,0.8,0.89,0.69,0.64,0.93,0.9,0.05,0.09,0.95
district,senate,S006,Berlin; Farmington; New Britain,Gennaro Bizzarro,R,96657,21488,0.22,75169,0.78,14622,0.15,31334,0.32,51434,0.53,8716,0.09,5173,0.05,17189,0.18,37981,19782,0.52,14392,0.4,93965,16444,0.18,33585,0.36,21323,5708,0.27,11270,0.53,14067,1447,0.1,4100,0.29,0.61,0.6,0.84,0.5,0.17,0.29,0.74,0.67,0.43,0.34,0.5,0.71,0.21,0.11,0.87
district,senate,S007,East Granby; Enfield; Granby; Somers; Suffield; Windsor Locks,John A. Kissel,R,102085,19735,0.19,82350,0.81,17313,0.17,7289,0.07,82673,0.81,6553,0.06,5570,0.05,6534,0.06,37294,29974,0.8,9917,0.27,94342,5477,0.06,14620,0.15,19466,1466,0.08,3717,0.19,16542,632,0.04,2640,0.16,0.78,0.6,0.9,0.55,0.19,0.31,0.7,0.61,0.4,0.43,0.67,0.77,0.13,0.1,0.95
district,senate,S008,Avon; Barkhamsted; Canton; Colebrook; Hartland; New Hartford; Norfolk; Simsbury; Torrington,Kevin D. Witkos,R,96414,21497,0.22,74917,0.78,17737,0.18,5999,0.06,82683,0.86,1749,0.02,5983,0.06,9363,0.1,37458,29661,0.79,10868,0.3,95272,5159,0.05,13979,0.15,21244,1100,0.05,3190,0.15,17046,837,0.05,3271,0.19,0.73,0.69,0.88,0.67,0.14,0.24,0.72,0.82,0.61,0.53,0.81,0.86,0.08,0.06,0.92
district,senate,S009,Cromwell; Middletown; Newington; Rocky Hill,Matthew L. Lesser,D,102356,18729,0.18,83627,0.82,18602,0.18,8602,0.08,74375,0.73,8266,0.08,11113,0.11,16575,0.16,42166,27472,0.65,13051,0.32,97663,6812,0.07,17255,0.18,18639,1616,0.09,3943,0.21,17703,1234,0.07,4235,0.24,0.81,0.65,0.93,0.61,0.12,0.28,0.77,0.8,0.57,0.58,0.85,0.83,0.11,0.11,0.93
district,senate,S010,New Haven; West Haven,Gary A. Winfield,D,96227,22096,0.23,74131,0.77,9210,0.1,23579,0.25,26866,0.28,37967,0.39,7815,0.08,16890,0.18,34132,10576,0.31,17716,0.54,87949,22804,0.26,42492,0.48,21880,7275,0.33,13564,0.62,8828,1250,0.14,3022,0.34,0.52,0.65,0.78,0.55,0.17,0.33,0.68,0.55,0.34,0.31,0.48,0.76,0.2,0.11,0.85
district,senate,S011,Hamden; New Haven,Martin M. Looney,D,97374,18110,0.19,79264,0.81,13491,0.14,26392,0.27,48188,0.49,14735,0.15,8059,0.08,15127,0.16,38465,15835,0.41,16979,0.46,89043,15813,0.18,30853,0.35,17703,4323,0.24,8383,0.47,12925,1509,0.12,4074,0.32,0.53,0.66,0.79,0.56,0.17,0.33,0.69,0.61,0.4,0.37,0.52,0.77,0.18,0.12,0.86
